word1,count
did,6452
hand,1220
things,4203
english,451
person,1929
put,2713
scrabble,17
perpetual,14
moron,19
second,1465
broke,385
pounds,160
haha,2637
tan,164
during,1600
chat,341
compliments,47
glow,56
maybe,2207
adore,90
shopping,583
kitchen,504
knives,27
elegantly,6
shaped,82
bright,342
honed,6
efficient,84
chopping,22
slicing,8
dicing,2
spy's,1
bottom,449
s,1393
charter,50
sam,170
university,443
light,1199
alpha,64
shining,76
brightly,23
heard,1311
wicked,73
ty,148
blessing,144
curse,91
gets,1272
pegged,8
sister,622
studio,471
yeahh,29
care,1471
shid,9
easier,382
created,507
twitter,3069
badge,72
myspace,96
official,399
wv,18
delegates,12
district,303
kendall,40
kylie,6
jenner,6
codeine,3
relaxing,153
dude,824
basically,275
caucasian,10
brother,678
gga,1
knock,174
blessed,329
productive,198
cincinnati,65
library,563
archives,69
little,5021
role,350
reversal,13
excited,1900
researcher,14
thx,471
recommendation,76
hi,1086
john,820
steven,65
caa,10
southampton,7
andrew,151
bird,258
song,1594
needs,1358
whistling,6
~,640
grandma,152
almost,1692
ran,412
reindeer,21
flying,265
austin,590
anna,88
kate,132
gurl,46
you've,723
doing,3059
scene,423
giving,891
artists,320
voice,708
outlet,55
record,636
followers,1132
content,424
felt,938
sacramento,67
ca,204
promoting,94
sno,9
clothing,161
stay,1648
tuned,321
mens,19
tee,85
shirt,553
snoclothing,13
before,4239
race,537
mean,1728
pick,1022
homeboy,12
female,253
number,1185
email,1217
address,342
ahaha,44
ate,275
pot,234
jambalaya,4
unless,434
demands,69
abortion,48
buck,80
travis,49
week's,163
border,170
box,693
ftw,43
faith,362
defensive,67
decisions,221
loom,9
large,771
espn,142
lineup,78
dvr,51
set,1906
later,1455
showing,389
busy,908
fav,166
billy,112
find,3201
corner,377
spam,159
computer,571
keeps,363
sending,297
tough,427
mins,213
loudest,18
sound,793
earth,544
unbearing,1
silence,154
may,3712
mother's,460
swim,131
ideas,764
disinfecting,2
three,1891
constants,2
choice,616
principles,76
shirim,2
listeners,30
wcuw,3
fm,80
org,272
inches,150
snow,561
area,982
won't,1234
air,778
soyoumeantotellme,1
butter,419
boss,300
pved,1
bc,209
use,3150
rad,64
give,3093
grief,51
z,179
skillz,13
sign,720
ups,211
thick,194
fast,771
tournament,154
minute,624
blind,157
levels,196
mystery,153
hairs,31
aren't,695
yours,417
bathroom,212
annoy,34
pathetic,97
baaah,3
service,911
otter,12
creek,87
yay,595
reason,1096
switch,145
verizon,51
thanksgiving,277
requests,92
turkeys,19
lori,30
lucky,629
cause,1255
hands,746
other,5167
part,2340
massage,133
disagree,106
hit,1590
since,2764
disliked,16
defense,257
icloud,13
isn't,1432
consumer,83
facing,124
cloud,143
developers,53
allowing,142
apple,435
compete,100
let's,1498
job,1911
cook,448
sank,20
gunna,98
throw,477
money,1840
stack,74
pie,222
wow,1486
ride,577
cell,199
dead,744
walking,625
miles,447
train,462
midnight,220
alaska,46
surprise,367
tips,316
figured,251
seriously,911
forward,1776
seeing,1109
dfw,17
writers,272
introduce,111
yourself,1151
regards,46
maya,38
perfect,1336
brackets,18
remain,211
upset,227
blaise,5
pascal~,1
eloquence,6
painting,248
brushed,31
teeth,212
drank,94
lemonade,68
iiiiccckk,1
waddup,5
boi,29
ren,12
ya'll,82
track,550
louis,233
blues,184
hurt,543
goalies,4
mwhahahah,1
uganda,13
kony,30
classy,102
diego,265
karl,40
tasty,143
while,3595
promise,357
formulating,3
both,2305
author,392
illustrate,20
children's,167
fable,5
intestinal,6
blockage,5
hat,268
cat,476
whats,344
ep,124
released,350
june,531
havent,111
songs,588
sausage,112
memorial,122
sacrifice,92
tim,246
burton,24
christian,244
symbolism,6
thankgoodness,1
lids,10
bevearges,1
situation,380
fall,1034
cute,1003
skit,15
dancing,327
disneysmmoms,1
cc,263
celebrate,420
freedom,271
ala,38
bbooks,1
emotional,181
prepared,260
understanding,246
emotions,140
mother,892
spent,725
flight,331
dc,484
taking,1424
notes,323
pray,326
kidnapped,27
guerilla,11
b,1589
saved,188
closes,63
scout,55
troops,68
teams,326
tons,187
currently,394
exterior,25
rendering,21
raphael's,1
prime,148
steakhouse,18
island,352
york,727
fine,862
balance,214
rohinton,1
mistry,1
india,161
solid,242
novel,304
downright,24
depressing,73
clearly,349
review,488
feud,6
car,1368
barn,68
dinner,1130
roberto's,1
sunshine,207
la,903
connect,238
seems,1192
haven't,1250
tech,334
visit,1033
conversation,395
proper,172
men,1034
participate,153
phantom,27
opera,69
silver,223
alert,126
nothing,2009
news,1527
proud,718
rules,387
yep,426
c,1332
oldham,6
county,513
finding,434
baby,1637
roof,142
definitively,9
definitely,1104
located,149
calexpo,1
bib,10
we'll,1102
obama,569
stated,83
opinion,333
politics,227
happens,577
stop,2437
trying,2078
josh,201
punk'd,19
heading,493
tonic,17
ball,604
til,325
ticket,344
revised,25
attendee,6
owner,230
words,1347
cut,1228
deep,540
support,1492
checked,269
music,2582
sweet,1389
victim's,7
says,1630
woman,907
sexually,41
assaulted,25
hiking,36
columbia,74
river,339
gorge,11
slashed,9
neck,186
leg,189
violent,99
struggle,174
perhaps,632
shop,591
pretending,51
interested,662
jeci,1
wouldnt,67
temporary,99
becus,2
