word1,count
irish,93
whiskey's,2
beers,87
books,463
slate,9
publication,17
specifics,6
sexualpickuplines,2
legs,145
lets,513
spread,225
word,890
bring,838
fans,888
together,768
games,672
hear,1558
susan,40
g,367
komen,8
foundation,92
reversed,9
decision,174
parenthood,13
gives,266
many,1863
women,599
access,204
healthcare,50
sore,88
did,3920
hand,464
things,1992
english,198
person,1171
put,1333
scrabble,11
perpetual,4
moron,15
second,593
broke,261
pounds,62
haha,2587
tan,119
during,665
chat,275
compliments,27
glow,30
maybe,1418
adore,31
shopping,315
kitchen,158
knives,11
elegantly,3
shaped,20
bright,134
honed,2
efficient,33
chopping,9
slicing,3
dicing,2
spy's,1
bottom,133
s,850
charter,31
sam,96
university,158
light,441
alpha,44
shining,40
brightly,4
heard,871
wicked,45
ty,138
blessing,63
curse,55
gets,830
pegged,5
sister,331
studio,316
yeahh,29
care,909
shid,9
easier,165
created,141
twitter,2949
badge,40
myspace,87
official,274
wv,18
delegates,7
district,112
kendall,28
kylie,3
jenner,4
codeine,3
relaxing,92
dude,771
basically,112
caucasian,5
brother,425
gga,1
knock,111
blessed,216
productive,146
cincinnati,46
library,407
archives,54
little,1757
role,159
reversal,2
excited,1494
researcher,9
thx,471
recommendation,51
hi,967
john,457
steven,40
caa,10
southampton,1
andrew,91
bird,143
song,1282
needs,910
whistling,4
~,482
grandma,93
almost,862
ran,168
reindeer,9
flying,155
austin,526
anna,35
kate,65
gurl,46
you've,479
doing,2045
scene,173
giving,519
artists,194
voice,477
outlet,18
record,381
followers,1048
content,280
felt,248
sacramento,41
ca,154
promoting,54
sno,9
clothing,78
stay,1179
tuned,261
mens,17
tee,53
shirt,403
snoclothing,13
before,1867
race,275
mean,1209
pick,657
homeboy,10
female,132
number,550
email,963
address,205
ahaha,44
ate,162
pot,81
jambalaya,3
unless,263
demands,24
abortion,25
buck,50
travis,33
week's,72
border,36
box,287
ftw,43
faith,174
defensive,33
decisions,123
loom,4
large,143
espn,133
lineup,61
dvr,47
set,749
later,630
showing,235
busy,542
fav,159
billy,73
find,1662
corner,152
spam,150
computer,301
keeps,213
sending,204
tough,282
mins,173
loudest,14
sound,439
earth,266
unbearing,1
silence,84
may,1785
mother's,348
swim,80
ideas,398
disinfecting,2
three,566
constants,2
choice,307
principles,20
shirim,2
listeners,20
wcuw,3
fm,68
org,195
inches,34
snow,329
area,388
won't,842
air,400
soyoumeantotellme,1
butter,128
boss,227
pved,1
bc,195
use,1541
rad,61
give,1856
grief,12
z,132
skillz,9
sign,461
ups,132
thick,48
fast,450
tournament,118
minute,325
blind,87
levels,80
mystery,59
hairs,15
aren't,439
yours,345
bathroom,99
annoy,28
pathetic,70
baaah,3
service,513
otter,7
creek,36
yay,544
reason,598
switch,91
verizon,43
thanksgiving,202
requests,53
turkeys,13
lori,15
lucky,401
cause,996
hands,318
other,1826
part,1037
massage,105
disagree,77
hit,1175
since,1136
disliked,5
defense,163
icloud,9
isn't,902
consumer,35
facing,31
cloud,86
developers,30
allowing,35
apple,257
compete,45
let's,1255
job,1270
cook,143
sank,6
gunna,98
throw,290
money,1136
stack,35
pie,126
wow,1349
ride,373
cell,108
dead,451
walking,323
miles,209
train,270
midnight,138
alaska,26
surprise,178
tips,197
figured,126
seriously,675
forward,1320
seeing,771
dfw,16
writers,96
introduce,47
yourself,756
regards,20
maya,20
perfect,743
brackets,12
remain,75
upset,153
blaise,4
pascal~,1
eloquence,3
painting,90
brushed,8
teeth,131
drank,63
lemonade,50
iiiiccckk,1
waddup,5
boi,29
ren,10
ya'll,76
track,328
louis,116
blues,108
hurt,371
goalies,3
mwhahahah,1
uganda,8
kony,28
classy,81
diego,229
karl,24
tasty,83
while,1414
promise,224
formulating,2
both,1032
author,125
illustrate,4
children's,66
fable,2
intestinal,3
blockage,2
hat,153
cat,320
whats,330
ep,106
released,130
june,327
havent,106
songs,391
sausage,53
memorial,73
sacrifice,34
tim,151
burton,16
christian,88
symbolism,3
thankgoodness,1
lids,5
bevearges,1
situation,156
fall,612
cute,665
skit,13
dancing,203
disneysmmoms,1
cc,258
celebrate,275
freedom,122
ala,33
bbooks,1
emotional,80
prepared,81
understanding,81
emotions,65
mother,328
spent,269
flight,227
dc,429
taking,812
notes,140
pray,162
kidnapped,12
guerilla,5
b,1276
saved,105
closes,44
scout,26
troops,26
teams,212
tons,103
currently,203
exterior,7
rendering,10
raphael's,1
prime,54
steakhouse,11
island,142
york,291
fine,481
balance,74
rohinton,1
mistry,1
india,50
solid,136
novel,87
downright,6
depressing,50
clearly,153
review,232
feud,5
car,803
barn,17
dinner,724
roberto's,1
sunshine,113
la,737
connect,181
seems,578
haven't,837
tech,290
visit,577
conversation,227
proper,61
men,544
participate,67
phantom,19
opera,37
silver,87
alert,94
nothing,1237
news,1013
proud,543
rules,173
yep,359
c,920
oldham,1
county,211
finding,220
baby,1025
roof,68
definitively,3
definitely,724
located,45
calexpo,1
bib,7
we'll,882
obama,359
stated,19
opinion,163
politics,126
happens,353
stop,1843
trying,1309
josh,166
punk'd,19
heading,404
tonic,9
ball,395
til,306
ticket,250
revised,8
attendee,3
owner,96
words,695
cut,446
deep,238
support,1017
checked,157
music,1916
sweet,842
victim's,3
says,972
woman,470
sexually,15
assaulted,5
hiking,15
columbia,31
river,125
gorge,5
slashed,4
neck,94
leg,100
violent,32
struggle,62
perhaps,148
shop,284
pretending,34
interested,427
jeci,1
wouldnt,59
temporary,45
becus,2
cant,836
ditto,50
man,2551
campus,156
bulletin,12
professors,17
assignments,16
due,308
gameday,21
report,209
bonuses,5
colton's,2
page,624
jobs,309
beasting,3
wrap,78
ppl,518
facebook,916
irs,15
talking,945
seem,320
inverted,5
wildly,6
disproportionate,3
agbt,1
lunch,725
afternoon,385
session,366
genomic,3
studies,70
sequencing's,1
genomes,1
hour,921
firework,6
store,486
gas,224
dildofarm,1
playground,13
square,141
root,73
pork,56
chop,35
hell,915
nah,165
reading,711
tom's,7
passover,21
texting,129
anytime,165
friend,1250
russ,7
ticular,1
fortitude,3
phil,101
jackson,165
van,101
gundy,6
jerry,69
sloan,5
amari,1
step,301
coach,307
falling,137
hoping,383
waiting,706
praying,131
congratulations,374
anniversary,144
movie,1074
cry,337
jackets,19
rabbits,8
colorado,95
~robert,7
frost,21
putting,279
sweatshirts,5
fresh,280
dryer,28
bases,27
try,1483
clown,40
signing,115
recruit,17
cannot,362
alonso,3
wanted,595
perez,16
overwhelmed,26
true,1313
channel,218
onstage,15
mantra,11
principal,18
leading,88
teachers,193
staff,211
cherish,17
challenge,176
employee,46
leaders,103
weeks,621
trusting,17
discussion,153
women's,109
group,462
oc,26
jail,76
approx,7
battered,9
fantastic,331
careers,26
panel,182
speakers,82
salerno,1
sergio,9
paredes,2
adrienne,11
diprima,1
jesus>religion,1
video,1006
church,292
youtube,323
truth,321
inspire,74
speaks,63
comforts,2
affirms,5
believing,44
calls,258
thankful,186
stick,185
thumb,27
dat,195
yo,568
ass,1180
unsolicited,7
uh,244
umpire,6
ludwick,1
knowledgeable,7
baseball,321
cuz,523
~maya,2
angelou,9
geekend,2
apologies,53
hacked,118
pw,9
solve,48
problem,673
tirade,2
en,47
private,153
message,399
que,37
jodo,1
mucho,5
con,56
birthday,1599
looked,312
belated,35
sophia,9
mum&dad,1
sequin,2
sweaters,16
rolling,107
chairs,34
woot,107
spending,191
line,688
brazilian,22
consulate,5
high,1003
fives,10
war,208
room,827
stopped,176
marijuana,18
everyone's,96
offering,75
stingy,7
sky,122
mcdonalds,55
um,266
hehe,103
soft,80
gigantic,16
counting,93
head,999
elvis,28
hair,805
enough,984
left,1028
boat,101
ipod,144
top,754
boating,15
goin,247
breakfast,374
broken,209
egg,120
patience,100
young'un,2
toenails,3
paint,102
pink,169
red,711
instead,461
intuition,7
given,241
rein,1
ebell,1
backs,32
canard,1
confirmation,29
bias,20
turned,257
wasn't,545
scratcher,1
seemed,65
noticed,148
whitney,122
passed,189
away,1407
legend,67
full,786
audience,150
regulars,3
tonight's,180
romeo,15
santos,6
ft,119
usher,20
sing,276
perimeter,6
stars,169
stoned,19
immaculate,3
scholarship,44
web,342
picture,495
honor,174
ghost,84
walk,629
dr,291
helene,2
knabe,1
md,62
chilling,68
chatham,4
lockerbie,1
aint,296
tho,531
agenda,44
strategies,35
investments,9
ks,26
projects,188
savings,51
landfill,2
otherwise,103
georgia,65
probably,823
gossip,38
girl,1681
manga,8
status,160
pleasure,222
meeting,786
kelly,96
fabulous,169
lady,501
